code,location,city,country,lat,lon
lime2,Limetree_VI,美属维京群岛菩提树,USA,17.6947,-64.7538
stcr2,St_Croix_VI,美属维京群岛圣克鲁瓦,USA,17.74666,-64.69833
lame,LameshurBayStJohnVI,圣约翰岛,USA,18.3182,-64.7242
amal2,Charlotte-Amalie_VI,夏洛特阿马利亚,USA,18.335,-64.92
cule2,Culebra_Is_PR,库莱布拉,USA,18.3008,-65.3028
isab,Isabel Segunda,伊莎贝尔二世镇,PuertoRico,18.150278,-65.435
vieq2,Vieques_PR,别克斯岛,USA,18.0939,-65.4714
faja,Fajardo_PR,法哈多,PuertoRico,18.3336,-65.6311
yabu,"Yabucoa Harbor, PR",亚武科阿港,USA,18.0551,-65.833
sanj2,San_Juan_PR,圣胡安,USA,18.4617,-66.1167
stdpr,"Salinas, Puerto Rico",萨莱纳,PuertoRico,17.949063,-66.225967
aracS,Arecibo ,阿雷西博,PuertoRico,18.4805,-66.7024
gtdpr,"Guayanilla, Puerto Rico",瓜亚尼亚港,PuertoRico,18.005219,-66.766697
maya,Mayaguez_PR,马亚圭斯,PuertoRico,18.2176,-67.1588
mona2,Mona_Island_PR,莫娜岛,USA,18.09,-67.9383
